app,route,screen_id,state,role,runtime_fixture,viewport,region,file,sha256,visible_assertion,route_assertion,problems,status
NEW,/admin/product-system,admin-product-system,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,top,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-product-system__populated__desktop__top.png,e7b74fdc1ba5fffc21e5b9687b44db6d122526b8f1fa6e3363d85ebef3e4ae98,admin-product-system,/admin/product-system,,captured
NEW,/admin/product-system,admin-product-system-categories,category-walk,operator-dev,single-plane-dev-isolated-synthetic,desktop,bottom,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-product-system-categories__category-walk__desktop__bottom.png,6758eda504e7fb1b3cc696a1bb7fe2f9eb3f5f1a5fcbeda57c9eddd425049117,admin-product-system-categories,/admin/product-system,,captured
NEW,/admin/product-system,admin-product-system-categories,category-walk,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-product-system-categories__category-walk__desktop__full.png,d144ed1ff4901e033237f46c787ae33ab3b9bd1cd8eb62310dc36b7eaccc0e52,admin-product-system-categories,/admin/product-system,,captured
NEW,/admin/product-system,admin-product-system-categories,category-walk,operator-dev,single-plane-dev-isolated-synthetic,desktop,mid,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-product-system-categories__category-walk__desktop__mid.png,7e8e12b6f6fc28191383c18805be28faa94969dee3b4dc36859f80c5b6c31c38,admin-product-system-categories,/admin/product-system,,captured
NEW,/admin/product-system,admin-product-system-categories,category-walk,operator-dev,single-plane-dev-isolated-synthetic,desktop,top,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-product-system-categories__category-walk__desktop__top.png,b1553233b5db6c0eeedb16f3049af9b452a8e0846b8fb0a80a3eed57efaf20c8,admin-product-system-categories,/admin/product-system,,captured
NEW,/admin/resources,admin-resources-catalog,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-resources-catalog__populated__desktop__full.png,681614d7fe4985e2bc652e2b0be5f71b2183b1cf96c28cd2b8b0da27dda0ab7f,admin-resources-catalog,/admin/resources,,captured
NEW,/admin/resources,admin-resources-catalog-categories,category-walk,operator-dev,single-plane-dev-isolated-synthetic,desktop,bottom,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-resources-catalog-categories__category-walk__desktop__bottom.png,08eea5e101d33b26d72cf83bbb2927afd5461e552a53038e95fc0aa18f002cd4,admin-resources-catalog-categories,/admin/resources,,captured
NEW,/admin/resources,admin-resources-catalog-categories,category-walk,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-resources-catalog-categories__category-walk__desktop__full.png,26d328d45f44bc86093b14031cb8db5da1abf4b957d349f2261ba0735c51f5c9,admin-resources-catalog-categories,/admin/resources,,captured
NEW,/admin/resources,admin-resources-catalog-categories,category-walk,operator-dev,single-plane-dev-isolated-synthetic,desktop,mid,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-resources-catalog-categories__category-walk__desktop__mid.png,19a5c4ec54404e815c7cff0c3d9b4b8ec729ccb5094dcf42246a023516893689,admin-resources-catalog-categories,/admin/resources,,captured
NEW,/admin/resources,admin-resources-catalog-categories,category-walk,operator-dev,single-plane-dev-isolated-synthetic,desktop,top,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-resources-catalog-categories__category-walk__desktop__top.png,0ab83de9318b26f01dd8d4d3419b26462115511a86811fea71f3e274e5246c56,admin-resources-catalog-categories,/admin/resources,,captured
NEW,/admin/resources,admin-resources-catalog-categories,category-walk-narrow,operator-dev,single-plane-dev-isolated-synthetic,narrow,bottom,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-resources-catalog-categories__category-walk-narrow__narrow__bottom.png,20fc45fdeb79c9857d889595d64b636995b773fa3317445fe614c048a6f939f2,admin-resources-catalog-categories,/admin/resources,,captured
NEW,/admin/resources,admin-resources-catalog-categories,category-walk-narrow,operator-dev,single-plane-dev-isolated-synthetic,narrow,full,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-resources-catalog-categories__category-walk-narrow__narrow__full.png,4c2253552219955c972624ed5c6115bdfbb88833c5eb721ebcc4206ef917f0ee,admin-resources-catalog-categories,/admin/resources,,captured
NEW,/admin/resources,admin-resources-catalog-categories,category-walk-narrow,operator-dev,single-plane-dev-isolated-synthetic,narrow,mid,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-resources-catalog-categories__category-walk-narrow__narrow__mid.png,c3c2dfae492137a2719709b40cbc2cf45175e2425250aba883c687bcfdcd8c1f,admin-resources-catalog-categories,/admin/resources,,captured
NEW,/admin/resources,admin-resources-catalog-categories,category-walk-narrow,operator-dev,single-plane-dev-isolated-synthetic,narrow,top,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-resources-catalog-categories__category-walk-narrow__narrow__top.png,9abae61cfc117d7b08de70e68f69c4c34b80468c01793a9c46835356a50d14db,admin-resources-catalog-categories,/admin/resources,,captured
NEW,/admin/seller,admin-seller,synthetic-legal-name-only,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-seller__synthetic-legal-name-only__desktop__full.png,0816e009c44c5797fa6e119ce4bcd59ee6800b378881a0d37b1f7f435148d84a,Date firma + Audit Synthetic SRL; CIF IBAN address empty,/admin/seller,,captured
NEW,/admin/people/skills,admin-skills,synthetic-populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,bottom,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-skills__synthetic-populated__desktop__bottom.png,945e0636dba91f639d78a59207924d419ff92e86c382ab3977ac452ab348c38f,Skill-uri heading + Operator Eligible eligibility,/admin/people/skills,,captured
NEW,/admin/people/skills,admin-skills,synthetic-populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-skills__synthetic-populated__desktop__full.png,536ef8ebf5cdc805da76563386d65b6a8d2f7fc80bb3053eff9a5d4e716e5162,Skill-uri heading + Operator Eligible eligibility,/admin/people/skills,,captured
NEW,/admin/people/skills,admin-skills,synthetic-populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,mid,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-skills__synthetic-populated__desktop__mid.png,2989781788b21fabee3387aeb70829d8ea3f765b70fc64a0a27ea91b727e1436,Skill-uri heading + Operator Eligible eligibility,/admin/people/skills,,captured
NEW,/admin/people/skills,admin-skills,synthetic-populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,top,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-skills__synthetic-populated__desktop__top.png,888eeb26ded518c383897cf458c201d5e7ce16ae80082670c843d85e050c8c4f,Skill-uri heading + Operator Eligible eligibility,/admin/people/skills,,captured
NEW,/admin/stock/:resourceId,admin-stock-item,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-stock-item__populated__desktop__full.png,c97d192fc0ca145d32be5e26f51e677624246e5bfe1660ae159fba555fc508d9,admin-stock-item,/admin/stock/:resourceId,,captured
NEW,/admin/stock,admin-stock-overview,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,bottom,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-stock-overview__populated__desktop__bottom.png,363570474b285e0454d548d48be4d57ec0737b0acde1bc1a96d1c5794aeefacf,admin-stock-overview,/admin/stock,,captured
NEW,/admin/stock,admin-stock-overview,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-stock-overview__populated__desktop__full.png,62d856a453228b45811473ddb2292d15756aacc939570511a44079e2be7d8a30,admin-stock-overview,/admin/stock,,captured
NEW,/admin/stock,admin-stock-overview,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,mid,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-stock-overview__populated__desktop__mid.png,a8c455de2253c17c3ee5c0492fe845d0f385909bbc812afd552c8f8a8016966d,admin-stock-overview,/admin/stock,,captured
NEW,/admin/stock,admin-stock-overview,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,top,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-stock-overview__populated__desktop__top.png,7e43feeaf7c86d90463c3eb87edf3431ec52470e45a8b5a00e6e57aa54b0f55b,admin-stock-overview,/admin/stock,,captured
NEW,/admin/workcenters,admin-workcenters-catalog,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-workcenters-catalog__populated__desktop__full.png,1a01060bb45c416d00908bc387a5d625f366b9302fbde883a00d160d09453f92,admin-workcenters-catalog,/admin/workcenters,,captured
NEW,/admin/workcenters,admin-workcenters-catalog-categories,category-walk,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/admin-workcenters-catalog-categories__category-walk__desktop__full.png,252af77e7313317a386b32979e56fc137dc8ca914281a1f4c2258c0dcd0f850e,admin-workcenters-catalog-categories,/admin/workcenters,,captured
OLD,angajati-registry,angajati-registry,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/angajati-registry__admin-preview__desktop__full.png,56109926f4f8cea3b9890d5f785796323271bd50e2e4df65c456535d53ae4a27,angajati-registry,angajati-registry,,captured
NEW,(boot),app-boot-unavailable,backend-unreachable,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/app-boot-unavailable__backend-unreachable__desktop__full.png,1e5b6d390ed61bf171e720234c50233f3eed3fb8b7c71d85f23c931e698a3df3,app-boot-unavailable,(boot),,captured
NEW,/atelier,atelier-inbox,empty-or-no-session,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/atelier-inbox__empty-or-no-session__desktop__full.png,51de5151b1d7a64b003182598387f758cc14ea2a80112b2a76edfec511bb9b5b,Atelier / Munca mea,/atelier,,captured
NEW,/atelier,atelier-inbox,empty-or-no-session,operator-dev,single-plane-dev-isolated-synthetic,narrow,full,docs/worklog/screenshots/ui-ux-audit-v1/new/atelier-inbox__empty-or-no-session__narrow__full.png,909536d9351e60fb6cf80b44cfae7bc828f138aa487d9073fbe276ed6bc743b1,Atelier / Munca mea,/atelier,,captured
NEW,/atelier,atelier-inbox,empty-or-no-session,operator-dev,single-plane-dev-isolated-synthetic,tablet,full,docs/worklog/screenshots/ui-ux-audit-v1/new/atelier-inbox__empty-or-no-session__tablet__full.png,0f6310703b6114dd6d90e4857a4fce6a5392c857c5a0bee97baccb98fee82086,Atelier / Munca mea,/atelier,,captured
NEW,/atelier,atelier-inbox,session-populated-or-ready,operator-dev,single-plane-dev-isolated-synthetic,desktop,bottom,docs/worklog/screenshots/ui-ux-audit-v1/new/atelier-inbox__session-populated-or-ready__desktop__bottom.png,93a2863c8811a06fab753b8240a1129b35d15a56bcf8b0c0370d258ff326f56c,Atelier / Munca mea,/atelier,,captured
NEW,/atelier,atelier-inbox,session-populated-or-ready,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/atelier-inbox__session-populated-or-ready__desktop__full.png,c4fc8f6cf20fc0ba4249eeecd3e47e017288a3440d3329b82fd8d99d4a3a7ec6,Atelier / Munca mea,/atelier,,captured
NEW,/atelier,atelier-inbox,session-populated-or-ready,operator-dev,single-plane-dev-isolated-synthetic,desktop,mid,docs/worklog/screenshots/ui-ux-audit-v1/new/atelier-inbox__session-populated-or-ready__desktop__mid.png,8878fd2d48e53a9686a2f097c474bc1e1755a5befb0ac0981c5b6ad0c10d4cb6,Atelier / Munca mea,/atelier,,captured
NEW,/atelier,atelier-inbox,session-populated-or-ready,operator-dev,single-plane-dev-isolated-synthetic,desktop,top,docs/worklog/screenshots/ui-ux-audit-v1/new/atelier-inbox__session-populated-or-ready__desktop__top.png,c06954e9cf379f1fd733265aae092eee4d041375afbaf9e0519b9e21d79c8bb1,Atelier / Munca mea,/atelier,,captured
OLD,atelier-overview,atelier-overview,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/atelier-overview__admin-preview__desktop__full.png,0c0dbb8fa67605a3167b2cedab239cc63120fc4a580651eeceae58b21bd9e87d,atelier-overview,atelier-overview,,captured
OLD,atelier-overview,atelier-overview,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,narrow,full,docs/worklog/screenshots/ui-ux-audit-v1/old/atelier-overview__admin-preview__narrow__full.png,def1ad10191d62a0228dde88c67748fb839594da46b58f0aa1072da91307d57c,atelier-overview,atelier-overview,,captured
OLD,atelier-overview,atelier-overview,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,tablet,full,docs/worklog/screenshots/ui-ux-audit-v1/old/atelier-overview__admin-preview__tablet__full.png,27f1d53d05416989254a7a258c80238bbd62685e40b6d1fc2d107be0efa7a5e9,atelier-overview,atelier-overview,,captured
OLD,attendance-effects,attendance-effects,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/attendance-effects__admin-preview__desktop__full.png,7182afdbf66a4a03816506fc27c3b409ffffe8af4d4c992d4b4ff20cb2d462fd,attendance-effects,attendance-effects,,captured
OLD,avansuri,avansuri,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/avansuri__admin-preview__desktop__full.png,582ba0677919f02d19a294c5f780bdcc4a3d62bb4c97c2c5a08e8d286b0176ea,avansuri,avansuri,,captured
OLD,blueprint-dossier-studio,blueprint-dossier-studio,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/blueprint-dossier-studio__admin-preview__desktop__full.png,46b5766b4f941ed2bb7fbaf54e157f17f4bd47b307646a854a76b51bffd39ce0,blueprint-dossier-studio,blueprint-dossier-studio,,captured
NEW,*,catch-all-redirect,redirected-to-jobs,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/catch-all-redirect__redirected-to-jobs__desktop__full.png,4f642dfc8484e0a271c62e326eda0d9978c324dd98b32a4a44019f7de74fbd31,catch-all-redirect,*,,captured
OLD,cereri-list,cereri-list,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/cereri-list__admin-preview__desktop__full.png,368220be0ca4fe189c4c8de0c4495c0cc1422cd04606558e106ece5d53e989b8,cereri-list,cereri-list,,captured
OLD,cereri-list,cereri-list,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,narrow,full,docs/worklog/screenshots/ui-ux-audit-v1/old/cereri-list__admin-preview__narrow__full.png,8db55a1a6aebfc4a0509d4cb38972e4861696987d5fc355f61c93b8b9ee1881a,cereri-list,cereri-list,,captured
OLD,cereri-list,cereri-list,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,tablet,full,docs/worklog/screenshots/ui-ux-audit-v1/old/cereri-list__admin-preview__tablet__full.png,117915f6cf1b11030f425dd23ed107b46cfedb22bccc900ddd1a6f2dd32162b6,cereri-list,cereri-list,,captured
OLD,cereri-pipeline-filter,cereri-pipeline-filter,status-selected,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/cereri-pipeline-filter__status-selected__desktop__full.png,3b426cc3b65324d1dc73d8155c4cb0b3b3ca5714225f952735d698fcae39f709,cereri-pipeline-filter,cereri-pipeline-filter,,captured
OLD,/clients/:clientName,client-tab-cereri,local-tab,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/client-tab-cereri__local-tab__desktop__full.png,dfa80dc2a0b5034123fd43d8231007edc37b34e8516e499f21849a4a5554b8e0,local client tab Cereri,/clients/:clientName,,captured
OLD,/clients/:clientName,client-tab-comenzi,local-tab,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/client-tab-comenzi__local-tab__desktop__full.png,2a41583228605a2f94da79b2507985ee9a85bc7679979eb822a5fd87f1343659,local client tab Comenzi,/clients/:clientName,,captured
OLD,/clients/:clientName,client-tab-oferte,local-tab,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/client-tab-oferte__local-tab__desktop__full.png,e53ab48c57adecc74b2b01eccd53daa1cc16b7db6b6bdba7677373e440c26fb7,local client tab Oferte,/clients/:clientName,,captured
OLD,/clients/:clientName,client-tab-overview,local-tab,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/client-tab-overview__local-tab__desktop__full.png,c15bee3d7f4e9231bfd865ea23597609c3f1965f2db7fbbf18cd5b0da8276d1a,local client tab Overview,/clients/:clientName,,captured
OLD,/clients/:clientName,client-workspace,opened,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/client-workspace__opened__desktop__full.png,f0c599bc06df2690525e9a657c9196c52d950e9ab537c2441de5502ba0e4455d,client-workspace,/clients/:clientName,,captured
NEW,/clients/:customerId,client-workspace-cereri,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/client-workspace-cereri__populated__desktop__full.png,4c1c42cbb26937ccf7de7f7747def2a0661b9f2f2a50c17f4ed5448ce7eb2593,client-workspace-cereri,/clients/:customerId,,captured
NEW,/clients/:customerId,client-workspace-lucrari,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/client-workspace-lucrari__populated__desktop__full.png,1d99fec390ecad1065bbcc81f896179a44705d65e2758edb3be43c08ec377a73,client-workspace-lucrari,/clients/:customerId,,captured
NEW,/clients/:customerId,client-workspace-oferte,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/client-workspace-oferte__populated__desktop__full.png,d40515cf5b7fd39da986dcb897076da0a6da1a2cee5227a47bf1e71338f40794,client-workspace-oferte,/clients/:customerId,,captured
NEW,/clients/:customerId,client-workspace-prezentare,populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/client-workspace-prezentare__populated__desktop__full.png,e36afe15187f77e3737a5906401d6a01d30d974e8694e7f006277f597d0cfbcc,client-workspace-prezentare,/clients/:customerId,,captured
OLD,clienti-list,clienti-list,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/old/clienti-list__admin-preview__desktop__full.png,51910af277867aa2239d30187cac7a6bfeed5c576e510def90603400071401e6,clienti-list,clienti-list,,captured
OLD,clienti-list,clienti-list,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,narrow,full,docs/worklog/screenshots/ui-ux-audit-v1/old/clienti-list__admin-preview__narrow__full.png,0a86e7c2b9c40e68264c8d558ae0e23d9a03cae0158eea5365005ea8a11d459b,clienti-list,clienti-list,,captured
OLD,clienti-list,clienti-list,admin-preview,admin-dev-preview,old-demo-db-copy-isolated,tablet,full,docs/worklog/screenshots/ui-ux-audit-v1/old/clienti-list__admin-preview__tablet__full.png,85cac723bb186866fff54b96fbe1fd79120a1775fdc1f87bc71dc144f0f65a35,clienti-list,clienti-list,,captured
NEW,/clients,clients-overview,empty-or-populated,operator-dev,single-plane-dev-isolated-synthetic,desktop,full,docs/worklog/screenshots/ui-ux-audit-v1/new/clients-overview__empty-or-populated__desktop__full.png,61aabe7fafe9841e6a19c6345f745ed3349a42866fa20ffe500d10e00e073785,clients-overview,/clients,,captured
NEW,/clients,clients-overview,empty-or-populated,operator-dev,single-plane-dev-isolated-synthetic,narrow,full,docs/worklog/screenshots/ui-ux-audit-v1/new/clients-overview__empty-or-populated__narrow__full.png,4e278fde395ad2216ae6e51d42a84564db5563de814661a421f12ed180f64880,clients-overview,/clients,,captured
NEW,/clients,clients-overview,empty-or-populated,operator-dev,single-plane-dev-isolated-synthetic,tablet,full,docs/worklog/screenshots/ui-ux-audit-v1/new/clients-overview__empty-or-populated__tablet__full.png,5381416e9bc758a6bea79acc0381de682cf7ff1877c6396100ee66458398d3ab,clients-overview,/clients,,captured
